Comment,Designator,Footprint,LCSC,Quantity
100n,"C2,C6,C7",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C1525,3
10k,"R4,R5",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25744,2
1n,C1,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C1523,1
1u,C3,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C52923,1
56k,R6,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25796,1
680p,"C4,C5",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C1630,2
LX3302AQPW-TR,IC1,SOP65P640X120-14N,C3237416,1
MCP6541T-I_OT,IC2,SOT95P270X145-5N,C80839,1
LMT01DQX,U1,Texas_DQX002A,,1
